index,Date,Close/Last,Volume,Open,High,Low,Price Increase,Previous Close
0,3/31/2023,$103.29 ,56750320,$102.16 ,$103.49 ,$101.95 ,Yes,$102.00 
1,3/30/2023,$102.00 ,53633400,$101.55 ,$103.04 ,$101.01 ,Yes,$100.25 
2,3/29/2023,$100.25 ,49783280,$98.69 ,$100.42 ,$98.56 ,Yes,$97.24 
3,3/28/2023,$97.24 ,38720050,$98.11 ,$98.44 ,$96.29 ,No,$98.04 
4,3/27/2023,$98.04 ,46721300,$99.07 ,$99.34 ,$97.08 ,No,$98.13 
5,3/24/2023,$98.13 ,56144800,$98.07 ,$98.30 ,$96.40 ,No,$98.71 
6,3/23/2023,$98.71 ,57559310,$100.43 ,$101.06 ,$97.62 ,Yes,$98.70 
7,3/22/2023,$98.70 ,57475370,$100.45 ,$102.10 ,$98.61 ,No,$100.61 
8,3/21/2023,$100.61 ,58597280,$98.14 ,$100.85 ,$98.00 ,Yes,$97.71 
9,3/20/2023,$97.71 ,62388910,$98.41 ,$98.48 ,$95.70 ,No,$98.95 
10,3/17/2023,$98.95 ,87300240,$99.79 ,$100.66 ,$97.46 ,No,$100.04 
11,3/16/2023,$100.04 ,84558930,$95.75 ,$100.99 ,$95.61 ,Yes,$96.20 
12,3/15/2023,$96.20 ,70731790,$93.22 ,$96.67 ,$93.07 ,Yes,$94.88 
13,3/14/2023,$94.88 ,60912670,$93.83 ,$95.07 ,$92.71 ,Yes,$92.43 
14,3/13/2023,$92.43 ,72397050,$89.97 ,$94.02 ,$88.12 ,Yes,$90.73 
15,3/10/2023,$90.73 ,69827490,$92.67 ,$93.57 ,$90.25 ,No,$92.25 
16,3/9/2023,$92.25 ,56218710,$93.68 ,$96.21 ,$92.18 ,No,$93.92 
17,3/8/2023,$93.92 ,44899130,$93.60 ,$94.17 ,$92.18 ,Yes,$93.55 
18,3/7/2023,$93.55 ,49100670,$94.06 ,$95.09 ,$92.78 ,No,$93.75 
19,3/6/2023,$93.75 ,52112360,$95.19 ,$96.55 ,$93.74 ,No,$94.90 
20,3/3/2023,$94.90 ,55759610,$92.74 ,$94.94 ,$92.66 ,Yes,$92.13 
21,3/2/2023,$92.13 ,55574820,$91.41 ,$92.23 ,$90.39 ,No,$92.17 
22,3/1/2023,$92.17 ,52299520,$93.87 ,$94.68 ,$91.59 ,No,$94.23 
23,2/28/2023,$94.23 ,43959290,$93.14 ,$94.69 ,$92.92 ,Yes,$93.76 
24,2/27/2023,$93.76 ,47470320,$94.28 ,$94.78 ,$93.14 ,Yes,$93.50 
25,2/24/2023,$93.50 ,57053810,$93.53 ,$94.14 ,$92.32 ,No,$95.82 
26,2/23/2023,$95.82 ,48466990,$96.12 ,$96.43 ,$93.67 ,Yes,$95.79 
27,2/22/2023,$95.79 ,59534090,$95.10 ,$97.01 ,$94.80 ,Yes,$94.58 
28,2/21/2023,$94.58 ,56580360,$95.34 ,$95.61 ,$94.27 ,No,$97.20 
29,2/17/2023,$97.20 ,60029410,$97.80 ,$97.94 ,$95.65 ,No,$98.15 
30,2/16/2023,$98.15 ,56339170,$99.21 ,$100.63 ,$98.10 ,No,$101.16 
31,2/15/2023,$101.16 ,48053880,$99.09 ,$101.17 ,$98.45 ,Yes,$99.70 
32,2/14/2023,$99.70 ,56202900,$98.41 ,$100.92 ,$97.52 ,Yes,$99.54 
33,2/13/2023,$99.54 ,52841460,$97.85 ,$99.68 ,$96.91 ,Yes,$97.61 
34,2/10/2023,$97.61 ,52740130,$97.56 ,$98.82 ,$96.23 ,No,$98.24 
35,2/9/2023,$98.24 ,64622490,$101.32 ,$101.78 ,$97.57 ,No,$100.05 
36,2/8/2023,$100.05 ,75878300,$102.04 ,$102.67 ,$98.78 ,No,$102.11 
37,2/7/2023,$102.11 ,119501300,$101.17 ,$102.41 ,$98.08 ,No,$102.18 
38,2/6/2023,$102.18 ,81945200,$102.93 ,$103.95 ,$100.65 ,No,$103.39 
39,2/3/2023,$103.39 ,144374800,$105.26 ,$108.78 ,$102.52 ,No,$112.91 
40,2/2/2023,$112.91 ,158154200,$110.25 ,$114.00 ,$108.88 ,Yes,$105.15 
41,2/1/2023,$105.15 ,80450120,$102.53 ,$106.24 ,$101.24 ,Yes,$103.13 
42,1/31/2023,$103.13 ,66527250,$101.16 ,$103.35 ,$101.14 ,Yes,$100.55 
43,1/30/2023,$100.55 ,70691860,$101.09 ,$101.74 ,$99.01 ,No,$102.24 
44,1/27/2023,$102.24 ,87775610,$99.53 ,$103.49 ,$99.53 ,Yes,$99.22 
45,1/26/2023,$99.22 ,68523560,$98.24 ,$99.49 ,$96.92 ,Yes,$97.18 
46,1/25/2023,$97.18 ,94261570,$92.56 ,$97.24 ,$91.52 ,Yes,$96.32 
47,1/24/2023,$96.32 ,66929450,$96.93 ,$98.09 ,$96.00 ,No,$97.52 
48,1/23/2023,$97.52 ,76501100,$97.56 ,$97.78 ,$95.86 ,Yes,$97.25 
49,1/20/2023,$97.25 ,67481540,$93.86 ,$97.35 ,$93.20 ,Yes,$93.68 
50,1/19/2023,$93.68 ,69002660,$94.74 ,$95.44 ,$92.86 ,No,$95.46 
51,1/18/2023,$95.46 ,79570370,$97.25 ,$99.32 ,$95.38 ,No,$96.05 
52,1/17/2023,$96.05 ,72755000,$98.68 ,$98.89 ,$95.73 ,No,$98.12 
53,1/13/2023,$98.12 ,85549430,$94.18 ,$98.37 ,$94.12 ,Yes,$95.27 
54,1/12/2023,$95.27 ,85254780,$96.93 ,$97.19 ,$93.50 ,Yes,$95.09 
55,1/11/2023,$95.09 ,103126200,$90.93 ,$95.26 ,$90.93 ,Yes,$89.87 
56,1/10/2023,$89.87 ,67756600,$87.57 ,$90.19 ,$87.29 ,Yes,$87.36 
57,1/9/2023,$87.36 ,65266060,$87.46 ,$89.48 ,$87.08 ,Yes,$86.08 
58,1/6/2023,$86.08 ,83303360,$83.03 ,$86.40 ,$81.43 ,Yes,$83.12 
59,1/5/2023,$83.12 ,67930830,$85.33 ,$85.42 ,$83.07 ,No,$85.14 
60,1/4/2023,$85.14 ,68885120,$86.55 ,$86.98 ,$83.36 ,No,$85.82 
61,1/3/2023,$85.82 ,76706040,$85.46 ,$86.96 ,$84.21 ,Yes,$84.00 
62,12/30/2022,$84.00 ,62401190,$83.12 ,$84.05 ,$82.47 ,No,$84.18 
63,12/29/2022,$84.18 ,54995900,$82.87 ,$84.55 ,$82.55 ,Yes,$81.82 
64,12/28/2022,$81.82 ,58228580,$82.80 ,$83.48 ,$81.69 ,No,$83.04 
65,12/27/2022,$83.04 ,57284040,$84.97 ,$85.35 ,$83.00 ,No,$85.25 
66,12/23/2022,$85.25 ,57433660,$83.25 ,$85.78 ,$82.93 ,Yes,$83.79 
67,12/22/2022,$83.79 ,81431310,$85.52 ,$85.68 ,$82.25 ,No,$86.77 
68,12/21/2022,$86.77 ,59267160,$86.18 ,$87.23 ,$85.21 ,Yes,$85.19 
69,12/20/2022,$85.19 ,74348300,$85.33 ,$86.61 ,$84.33 ,Yes,$84.92 
70,12/19/2022,$84.92 ,83531460,$87.51 ,$87.63 ,$84.51 ,No,$87.86 
71,12/16/2022,$87.86 ,146144100,$88.27 ,$89.35 ,$86.73 ,No,$88.45 
72,12/15/2022,$88.45 ,84802880,$89.89 ,$89.97 ,$87.47 ,No,$91.58 
73,12/14/2022,$91.58 ,70298010,$92.50 ,$93.46 ,$89.87 ,No,$92.49 
74,12/13/2022,$92.49 ,100212000,$95.23 ,$96.25 ,$90.52 ,Yes,$90.55 
75,12/12/2022,$90.55 ,61999760,$89.21 ,$90.58 ,$87.87 ,Yes,$89.09 
76,12/9/2022,$89.09 ,67398510,$88.90 ,$90.30 ,$88.63 ,No,$90.35 
77,12/8/2022,$90.35 ,73305890,$89.24 ,$90.86 ,$87.88 ,Yes,$88.46 
78,12/7/2022,$88.46 ,68086880,$88.34 ,$89.89 ,$87.48 ,Yes,$88.25 
79,12/6/2022,$88.25 ,75503630,$90.50 ,$91.04 ,$87.90 ,No,$91.01 
80,12/5/2022,$91.01 ,71535530,$93.05 ,$94.06 ,$90.82 ,No,$94.13 
81,12/2/2022,$94.13 ,72496390,$94.48 ,$95.36 ,$93.78 ,No,$95.50 
82,12/1/2022,$95.50 ,68487970,$96.99 ,$97.23 ,$94.92 ,No,$96.54 
83,11/30/2022,$96.54 ,102805800,$92.47 ,$96.54 ,$91.53 ,Yes,$92.42 
84,11/29/2022,$92.42 ,65567290,$94.04 ,$94.41 ,$91.44 ,No,$93.95 
85,11/28/2022,$93.95 ,75062320,$93.93 ,$96.40 ,$93.43 ,Yes,$93.41 
86,11/25/2022,$93.41 ,35088610,$93.79 ,$94.43 ,$93.07 ,No,$94.13 
87,11/23/2022,$94.13 ,59414680,$93.24 ,$94.58 ,$92.83 ,Yes,$93.20 
88,11/22/2022,$93.20 ,62191960,$92.62 ,$93.35 ,$90.87 ,Yes,$92.46 
89,11/21/2022,$92.46 ,84330270,$93.97 ,$95.02 ,$90.59 ,No,$94.14 
90,11/18/2022,$94.14 ,72428190,$95.95 ,$95.99 ,$92.48 ,No,$94.85 
91,11/17/2022,$94.85 ,82617870,$95.37 ,$96.97 ,$94.03 ,No,$97.12 
92,11/16/2022,$97.12 ,87958830,$96.85 ,$98.49 ,$95.54 ,No,$98.94 
93,11/15/2022,$98.94 ,111336300,$103.21 ,$103.79 ,$97.34 ,Yes,$98.49 
94,11/14/2022,$98.49 ,99533070,$98.77 ,$100.12 ,$97.29 ,No,$100.79 
95,11/11/2022,$100.79 ,111590500,$97.88 ,$101.19 ,$96.66 ,Yes,$96.63 
96,11/10/2022,$96.63 ,173414900,$92.94 ,$98.69 ,$91.65 ,Yes,$86.14 
97,11/9/2022,$86.14 ,90796250,$89.47 ,$89.48 ,$85.87 ,No,$89.98 
98,11/8/2022,$89.98 ,88703370,$90.79 ,$91.72 ,$88.23 ,No,$90.53 
99,11/7/2022,$90.53 ,77495730,$91.95 ,$92.10 ,$89.04 ,No,$90.98 
100,11/4/2022,$90.98 ,129101300,$91.49 ,$92.44 ,$88.04 ,Yes,$89.30 
101,11/3/2022,$89.30 ,136683300,$92.47 ,$93.50 ,$89.02 ,No,$92.12 
102,11/2/2022,$92.12 ,135761800,$97.32 ,$97.74 ,$92.01 ,No,$96.79 
103,11/1/2022,$96.79 ,153370000,$103.99 ,$104.58 ,$96.06 ,No,$102.44 
104,10/31/2022,$102.44 ,99251400,$103.56 ,$104.87 ,$100.74 ,No,$103.41 
105,10/28/2022,$103.41 ,223133400,$97.91 ,$103.96 ,$97.66 ,No,$110.96 
106,10/27/2022,$110.96 ,129605400,$113.92 ,$114.12 ,$109.77 ,No,$115.66 
107,10/26/2022,$115.66 ,69002460,$116.00 ,$119.35 ,$114.76 ,No,$120.60 
108,10/25/2022,$120.60 ,50934610,$119.65 ,$121.32 ,$118.95 ,Yes,$119.82 
109,10/24/2022,$119.82 ,49531520,$119.98 ,$120.39 ,$116.57 ,Yes,$119.32 
110,10/21/2022,$119.32 ,55660490,$114.79 ,$119.59 ,$114.50 ,Yes,$115.25 
111,10/20/2022,$115.25 ,48795100,$113.83 ,$118.24 ,$113.51 ,Yes,$115.07 
112,10/19/2022,$115.07 ,47198120,$114.71 ,$116.59 ,$113.22 ,No,$116.36 
113,10/18/2022,$116.36 ,65607450,$119.06 ,$119.52 ,$114.79 ,Yes,$113.79 
114,10/17/2022,$113.79 ,62781990,$110.11 ,$114.19 ,$110.09 ,Yes,$106.90 
115,10/14/2022,$106.90 ,67737340,$114.10 ,$114.96 ,$106.60 ,No,$112.53 
116,10/13/2022,$112.53 ,86868100,$107.88 ,$113.44 ,$105.35 ,No,$112.90 
117,10/12/2022,$112.90 ,45728660,$112.49 ,$113.83 ,$111.40 ,Yes,$112.21 
118,10/11/2022,$112.21 ,56432230,$112.71 ,$115.48 ,$110.39 ,No,$113.67 
119,10/10/2022,$113.67 ,42339680,$115.10 ,$116.25 ,$112.43 ,No,$114.56 
120,10/7/2022,$114.56 ,54677980,$118.00 ,$118.17 ,$113.88 ,No,$120.30 
121,10/6/2022,$120.30 ,42253760,$120.77 ,$121.53 ,$119.50 ,No,$120.95 
122,10/5/2022,$120.95 ,48217540,$118.58 ,$121.75 ,$117.69 ,No,$121.09 
123,10/4/2022,$121.09 ,62812560,$119.89 ,$123.00 ,$119.79 ,Yes,$115.88 
124,10/3/2022,$115.88 ,50941850,$113.58 ,$116.91 ,$112.45 ,Yes,$113.00 
125,9/30/2022,$113.00 ,59479590,$114.08 ,$116.92 ,$112.84 ,No,$114.80 
126,9/29/2022,$114.80 ,58969710,$115.60 ,$116.07 ,$113.06 ,No,$118.01 
127,9/28/2022,$118.01 ,55763750,$114.38 ,$118.70 ,$113.80 ,Yes,$114.41 
128,9/27/2022,$114.41 ,60094690,$117.20 ,$118.32 ,$113.05 ,No,$115.15 
129,9/26/2022,$115.15 ,62723270,$113.30 ,$117.34 ,$113.13 ,Yes,$113.78 
130,9/23/2022,$113.78 ,65126670,$116.00 ,$116.05 ,$112.06 ,No,$117.31 
131,9/22/2022,$117.31 ,55229190,$117.08 ,$118.79 ,$116.26 ,No,$118.54 
132,9/21/2022,$118.54 ,58498890,$122.49 ,$123.76 ,$118.45 ,No,$122.19 
133,9/20/2022,$122.19 ,47698430,$123.35 ,$124.40 ,$121.14 ,No,$124.66 
134,9/19/2022,$124.66 ,47279730,$122.16 ,$124.71 ,$121.80 ,Yes,$123.53 
135,9/16/2022,$123.53 ,115667800,$122.78 ,$123.87 ,$120.70 ,No,$126.28 
136,9/15/2022,$126.28 ,52887200,$127.38 ,$130.37 ,$125.50 ,No,$128.55 
137,9/14/2022,$128.55 ,45316770,$127.36 ,$128.84 ,$126.33 ,Yes,$126.82 
138,9/13/2022,$126.82 ,72694010,$131.01 ,$131.40 ,$126.27 ,No,$136.45 
139,9/12/2022,$136.45 ,53826860,$134.10 ,$136.49 ,$134.00 ,Yes,$133.27 
140,9/9/2022,$133.27 ,49422260,$130.91 ,$133.69 ,$130.76 ,Yes,$129.82 
141,9/8/2022,$129.82 ,43988510,$127.72 ,$130.28 ,$127.10 ,Yes,$129.48 
142,9/7/2022,$129.48 ,47834490,$126.12 ,$129.82 ,$125.40 ,Yes,$126.11 
143,9/6/2022,$126.11 ,43888590,$127.92 ,$128.62 ,$124.74 ,No,$127.51 
144,9/2/2022,$127.51 ,57429830,$129.50 ,$131.38 ,$126.39 ,No,$127.82 
145,9/1/2022,$127.82 ,56636150,$126.00 ,$128.02 ,$123.66 ,Yes,$126.77 
146,8/31/2022,$126.77 ,53648700,$129.45 ,$130.59 ,$126.74 ,No,$128.73 
147,8/30/2022,$128.73 ,49202990,$131.25 ,$132.07 ,$126.85 ,No,$129.79 
148,8/29/2022,$129.79 ,48101640,$129.90 ,$131.95 ,$128.77 ,No,$130.75 
149,8/26/2022,$130.75 ,53322660,$136.55 ,$137.83 ,$130.50 ,No,$137.28 
150,8/25/2022,$137.28 ,37496280,$135.26 ,$137.42 ,$134.28 ,Yes,$133.80 
151,8/24/2022,$133.80 ,38626980,$132.75 ,$135.47 ,$132.10 ,Yes,$133.62 
152,8/23/2022,$133.62 ,36252100,$133.41 ,$134.99 ,$132.95 ,Yes,$133.22 
153,8/22/2022,$133.22 ,50461500,$135.72 ,$136.32 ,$132.85 ,No,$138.23 
154,8/19/2022,$138.23 ,47792840,$140.47 ,$141.11 ,$137.91 ,No,$142.30 
155,8/18/2022,$142.30 ,37458740,$141.32 ,$142.77 ,$140.38 ,Yes,$142.10 
156,8/17/2022,$142.10 ,48149780,$142.69 ,$143.38 ,$140.78 ,No,$144.78 
157,8/16/2022,$144.78 ,59102860,$143.91 ,$146.57 ,$142.00 ,Yes,$143.18 
158,8/15/2022,$143.18 ,39014580,$142.80 ,$143.76 ,$141.49 ,No,$143.55 
159,8/12/2022,$143.55 ,47643480,$142.05 ,$143.57 ,$140.12 ,Yes,$140.64 
160,8/11/2022,$140.64 ,44867340,$143.86 ,$144.49 ,$139.76 ,No,$142.69 
161,8/10/2022,$142.69 ,54773820,$142.90 ,$144.60 ,$141.01 ,Yes,$137.83 
162,8/9/2022,$137.83 ,40434720,$138.05 ,$138.95 ,$136.21 ,No,$139.41 
163,8/8/2022,$139.41 ,52303480,$142.05 ,$144.23 ,$138.29 ,No,$140.80 
164,8/5/2022,$140.80 ,50686870,$140.10 ,$142.86 ,$139.60 ,No,$142.57 
165,8/4/2022,$142.57 ,70585020,$140.58 ,$143.56 ,$139.55 ,Yes,$139.52 
166,8/3/2022,$139.52 ,71827780,$136.21 ,$140.49 ,$136.05 ,Yes,$134.16 
167,8/2/2022,$134.16 ,61922430,$134.72 ,$137.44 ,$134.09 ,No,$135.39 
168,8/1/2022,$135.39 ,76846910,$134.96 ,$138.83 ,$133.51 ,Yes,$134.95 
169,7/29/2022,$134.95 ,148892900,$134.90 ,$137.65 ,$132.41 ,Yes,$122.28 
170,7/28/2022,$122.28 ,82245540,$121.57 ,$122.84 ,$118.08 ,Yes,$120.97 
