Date,Close/Last,Volume,Open,High,Low,Price Increase,Previous Close
3/31/2023,$104.00 ,28107950,$101.71 ,$104.19 ,$101.44 ,Yes,$101.32 
3/30/2023,$101.32 ,25009830,$101.44 ,$101.61 ,$100.29 ,No,$101.90 
3/29/2023,$101.90 ,26148300,$102.72 ,$102.82 ,$101.03 ,Yes,$101.36 
3/28/2023,$101.36 ,24913480,$103.00 ,$103.00 ,$100.28 ,No,$103.06 
3/27/2023,$103.06 ,25393420,$105.32 ,$105.40 ,$102.63 ,No,$106.06 
3/24/2023,$106.06 ,25245010,$105.74 ,$106.16 ,$104.74 ,No,$106.26 
3/23/2023,$106.26 ,31385820,$105.89 ,$107.10 ,$105.41 ,Yes,$104.22 
3/22/2023,$104.22 ,32336880,$105.14 ,$107.51 ,$104.21 ,No,$105.84 
3/21/2023,$105.84 ,33122800,$101.98 ,$105.96 ,$101.86 ,Yes,$101.93 
3/20/2023,$101.93 ,26033920,$101.06 ,$102.58 ,$100.79 ,No,$102.46 
3/17/2023,$102.46 ,76140310,$100.84 ,$103.49 ,$100.75 ,Yes,$101.07 
3/16/2023,$101.07 ,54588200,$96.57 ,$101.97 ,$95.87 ,Yes,$96.55 
3/15/2023,$96.55 ,38367330,$93.54 ,$97.25 ,$93.04 ,Yes,$94.25 
3/14/2023,$94.25 ,32303880,$93.07 ,$94.83 ,$92.78 ,Yes,$91.66 
3/13/2023,$91.66 ,31508570,$90.57 ,$93.08 ,$89.94 ,Yes,$91.01 
3/10/2023,$91.01 ,32850090,$92.50 ,$93.18 ,$90.80 ,No,$92.66 
3/9/2023,$92.66 ,24438890,$94.49 ,$95.92 ,$92.36 ,No,$94.65 
3/8/2023,$94.65 ,25395200,$94.41 ,$96.24 ,$94.41 ,Yes,$94.17 
3/7/2023,$94.17 ,24101540,$95.42 ,$96.09 ,$93.84 ,No,$95.58 
3/6/2023,$95.58 ,28288210,$94.36 ,$96.30 ,$94.30 ,Yes,$94.02 
3/3/2023,$94.02 ,30242540,$92.74 ,$94.11 ,$92.66 ,Yes,$92.31 
3/2/2023,$92.31 ,23344560,$89.86 ,$92.48 ,$89.77 ,Yes,$90.51 
3/1/2023,$90.51 ,26323880,$90.16 ,$91.20 ,$89.85 ,Yes,$90.30 
2/28/2023,$90.30 ,30546910,$89.54 ,$91.45 ,$89.52 ,Yes,$90.10 
2/27/2023,$90.10 ,22724260,$90.09 ,$90.45 ,$89.61 ,Yes,$89.35 
2/24/2023,$89.35 ,31295620,$89.63 ,$90.13 ,$88.86 ,No,$91.07 
2/23/2023,$91.07 ,32423720,$92.13 ,$92.13 ,$90.01 ,No,$91.80 
2/22/2023,$91.80 ,29891140,$91.93 ,$92.36 ,$90.87 ,No,$92.05 
2/21/2023,$92.05 ,28367200,$93.24 ,$93.41 ,$92.00 ,No,$94.59 
2/17/2023,$94.59 ,31095070,$95.07 ,$95.75 ,$93.45 ,No,$95.78 
2/16/2023,$95.78 ,35642110,$95.54 ,$97.88 ,$94.97 ,No,$97.10 
2/15/2023,$97.10 ,37029890,$94.74 ,$97.34 ,$94.36 ,Yes,$94.95 
2/14/2023,$94.95 ,42513080,$94.66 ,$95.18 ,$92.65 ,No,$95.00 
2/13/2023,$95.00 ,43116560,$95.01 ,$95.35 ,$94.05 ,Yes,$94.86 
2/10/2023,$94.86 ,49325280,$95.74 ,$97.02 ,$94.53 ,No,$95.46 
2/9/2023,$95.46 ,97798570,$100.54 ,$100.61 ,$93.86 ,No,$100.00 
2/8/2023,$100.00 ,73546030,$102.69 ,$103.58 ,$98.46 ,No,$108.04 
2/7/2023,$108.04 ,33738830,$103.63 ,$108.67 ,$103.55 ,Yes,$103.47 
2/6/2023,$103.47 ,25573050,$102.69 ,$104.70 ,$102.21 ,No,$105.22 
2/3/2023,$105.22 ,36823420,$103.51 ,$108.02 ,$103.30 ,No,$108.80 
2/2/2023,$108.80 ,46622630,$106.79 ,$108.82 ,$106.54 ,Yes,$101.43 
2/1/2023,$101.43 ,26392570,$99.74 ,$102.19 ,$98.42 ,Yes,$99.87 
1/31/2023,$99.87 ,22306780,$97.86 ,$99.91 ,$97.79 ,Yes,$97.95 
1/30/2023,$97.95 ,24365140,$98.75 ,$99.41 ,$97.52 ,No,$100.71 
1/27/2023,$100.71 ,29020350,$99.05 ,$101.58 ,$98.97 ,Yes,$99.16 
1/26/2023,$99.16 ,24542060,$98.28 ,$99.21 ,$96.82 ,Yes,$96.73 
1/25/2023,$96.73 ,31000850,$97.20 ,$97.72 ,$95.26 ,No,$99.21 
1/24/2023,$99.21 ,27391370,$99.55 ,$101.09 ,$98.70 ,No,$101.21 
1/23/2023,$101.21 ,31791780,$99.13 ,$101.40 ,$98.75 ,Yes,$99.28 
1/20/2023,$99.28 ,53704760,$95.95 ,$99.42 ,$95.91 ,Yes,$93.91 
1/19/2023,$93.91 ,28707650,$91.39 ,$94.40 ,$91.38 ,Yes,$91.78 
1/18/2023,$91.78 ,19641620,$92.94 ,$93.59 ,$91.40 ,No,$92.16 
1/17/2023,$92.16 ,22935820,$92.78 ,$92.97 ,$90.84 ,No,$92.80 
1/13/2023,$92.80 ,18630710,$91.53 ,$92.98 ,$90.93 ,Yes,$91.91 
1/12/2023,$91.91 ,22754220,$92.40 ,$92.62 ,$90.57 ,No,$92.26 
1/11/2023,$92.26 ,25998840,$90.06 ,$92.45 ,$89.74 ,Yes,$89.24 
1/10/2023,$89.24 ,22855590,$86.72 ,$89.48 ,$86.70 ,Yes,$88.80 
1/9/2023,$88.80 ,22996680,$89.20 ,$90.83 ,$88.58 ,Yes,$88.16 
1/6/2023,$88.16 ,26612630,$87.36 ,$88.47 ,$85.57 ,Yes,$86.77 
1/5/2023,$86.77 ,23136080,$88.07 ,$88.21 ,$86.56 ,No,$88.71 
1/4/2023,$88.71 ,27046480,$91.01 ,$91.24 ,$87.80 ,No,$89.70 
1/3/2023,$89.70 ,20738460,$89.83 ,$91.55 ,$89.02 ,Yes,$88.73 
12/30/2022,$88.73 ,19190300,$87.37 ,$88.83 ,$87.03 ,No,$88.95 
12/29/2022,$88.95 ,18280660,$87.03 ,$89.37 ,$86.99 ,Yes,$86.46 
12/28/2022,$86.46 ,17879570,$87.50 ,$88.52 ,$86.37 ,No,$87.93 
12/27/2022,$87.93 ,15470870,$89.31 ,$89.50 ,$87.54 ,No,$89.81 
12/23/2022,$89.81 ,17815010,$87.62 ,$90.10 ,$87.62 ,Yes,$88.26 
12/22/2022,$88.26 ,23656070,$88.93 ,$89.18 ,$86.94 ,No,$90.25 
12/21/2022,$90.25 ,20336390,$89.73 ,$90.92 ,$88.91 ,Yes,$89.63 
12/20/2022,$89.63 ,21976850,$88.73 ,$89.78 ,$88.04 ,Yes,$89.15 
12/19/2022,$89.15 ,23020540,$90.88 ,$91.20 ,$88.93 ,No,$90.86 
12/16/2022,$90.86 ,48485510,$91.20 ,$91.75 ,$90.01 ,No,$91.20 
12/15/2022,$91.20 ,28298760,$93.54 ,$94.03 ,$90.43 ,No,$95.31 
12/14/2022,$95.31 ,26452940,$95.54 ,$97.22 ,$93.94 ,No,$95.85 
12/13/2022,$95.85 ,34788520,$98.07 ,$99.80 ,$95.38 ,Yes,$93.56 
12/12/2022,$93.56 ,27380950,$93.09 ,$93.87 ,$91.90 ,Yes,$93.07 
12/9/2022,$93.07 ,21885310,$93.90 ,$94.49 ,$93.02 ,No,$93.95 
12/8/2022,$93.95 ,25593230,$95.69 ,$95.87 ,$93.80 ,No,$95.15 
12/7/2022,$95.15 ,26647880,$96.77 ,$97.31 ,$95.03 ,No,$97.31 
12/6/2022,$97.31 ,20877620,$99.67 ,$100.21 ,$96.76 ,No,$99.87 
12/5/2022,$99.87 ,19955550,$99.82 ,$101.75 ,$99.36 ,No,$100.83 
12/2/2022,$100.83 ,18821530,$99.37 ,$101.15 ,$99.17 ,No,$101.28 
12/1/2022,$101.28 ,21771540,$101.40 ,$102.59 ,$100.67 ,No,$101.45 
11/30/2022,$101.45 ,39888070,$95.12 ,$101.45 ,$94.67 ,Yes,$95.44 
11/29/2022,$95.44 ,20220010,$96.00 ,$96.39 ,$94.39 ,No,$96.25 
11/28/2022,$96.25 ,19981970,$97.20 ,$97.83 ,$95.89 ,No,$97.60 
11/25/2022,$97.60 ,8567819,$98.47 ,$98.94 ,$97.53 ,No,$98.82 
11/23/2022,$98.82 ,17568860,$97.34 ,$99.07 ,$97.34 ,Yes,$97.33 
11/22/2022,$97.33 ,18868850,$96.16 ,$97.55 ,$94.41 ,Yes,$95.83 
