Date,Close/Last,Volume,Open,High,Low,Price Increase,Previous Close
3/31/2023,$211.94 ,25440270,$207.24 ,$212.17 ,$206.77 ,Yes,$207.84 
3/30/2023,$207.84 ,22608300,$203.38 ,$208.09 ,$202.82 ,Yes,$205.35 
3/29/2023,$205.35 ,18851140,$203.56 ,$205.72 ,$202.54 ,Yes,$200.68 
3/28/2023,$200.68 ,19127300,$200.15 ,$201.03 ,$197.90 ,No,$202.84 
3/27/2023,$202.84 ,18527180,$204.81 ,$205.86 ,$201.36 ,No,$206.01 
3/24/2023,$206.01 ,27733040,$205.18 ,$207.58 ,$203.55 ,Yes,$204.28 
3/23/2023,$204.28 ,27389670,$202.84 ,$207.88 ,$202.15 ,Yes,$199.81 
3/22/2023,$199.81 ,28477760,$202.50 ,$207.37 ,$199.67 ,No,$202.16 
3/21/2023,$202.16 ,31826950,$203.20 ,$203.55 ,$197.95 ,Yes,$197.81 
3/20/2023,$197.81 ,25186320,$198.48 ,$199.36 ,$193.64 ,Yes,$195.61 
3/17/2023,$195.61 ,50141100,$200.56 ,$201.90 ,$195.43 ,No,$204.93 
3/16/2023,$204.93 ,50819660,$198.26 ,$205.76 ,$196.09 ,Yes,$197.75 
3/15/2023,$197.75 ,42123550,$192.95 ,$197.78 ,$190.84 ,Yes,$194.02 
3/14/2023,$194.02 ,41642630,$187.58 ,$194.32 ,$186.56 ,Yes,$180.90 
3/13/2023,$180.90 ,24727970,$177.96 ,$183.78 ,$174.82 ,Yes,$179.51 
3/10/2023,$179.51 ,25665030,$181.01 ,$184.77 ,$178.80 ,No,$181.69 
3/9/2023,$181.69 ,26582750,$186.35 ,$188.93 ,$180.30 ,No,$184.97 
3/8/2023,$184.97 ,19432410,$182.87 ,$185.26 ,$181.34 ,Yes,$184.51 
3/7/2023,$184.51 ,36701500,$189.00 ,$190.36 ,$184.01 ,No,$184.90 
3/6/2023,$184.90 ,33209390,$188.00 ,$189.66 ,$184.64 ,No,$185.25 
3/3/2023,$185.25 ,45877690,$178.92 ,$186.62 ,$177.05 ,Yes,$174.53 
3/2/2023,$174.53 ,17360710,$172.38 ,$175.01 ,$171.43 ,Yes,$173.42 
3/1/2023,$173.42 ,30998380,$174.59 ,$177.85 ,$173.05 ,No,$174.94 
2/28/2023,$174.94 ,46051120,$171.90 ,$177.55 ,$171.87 ,Yes,$169.54 
2/27/2023,$169.54 ,19277000,$171.88 ,$173.12 ,$169.06 ,No,$170.39 
2/24/2023,$170.39 ,19791330,$168.64 ,$170.72 ,$167.66 ,No,$172.04 
2/23/2023,$172.04 ,20017780,$172.00 ,$173.69 ,$169.38 ,Yes,$171.12 
2/22/2023,$171.12 ,22433160,$171.07 ,$172.76 ,$169.69 ,No,$172.08 
2/21/2023,$172.08 ,34592580,$174.31 ,$178.17 ,$171.88 ,No,$172.88 
2/17/2023,$172.88 ,24171260,$170.22 ,$173.18 ,$169.70 ,Yes,$172.44 
2/16/2023,$172.44 ,25827470,$172.75 ,$175.85 ,$171.79 ,No,$177.16 
2/15/2023,$177.16 ,25337970,$176.42 ,$178.19 ,$175.33 ,No,$179.48 
2/14/2023,$179.48 ,24034630,$177.16 ,$181.51 ,$175.88 ,Yes,$179.43 
2/13/2023,$179.43 ,31463220,$178.22 ,$181.00 ,$175.82 ,Yes,$174.15 
2/10/2023,$174.15 ,33433570,$176.35 ,$178.89 ,$173.35 ,No,$177.92 
2/9/2023,$177.92 ,37118810,$186.13 ,$186.65 ,$177.27 ,No,$183.43 
2/8/2023,$183.43 ,36139070,$190.00 ,$190.83 ,$182.92 ,No,$191.62 
2/7/2023,$191.62 ,47080660,$185.58 ,$193.78 ,$184.40 ,Yes,$186.06 
2/6/2023,$186.06 ,42483810,$186.53 ,$190.70 ,$185.52 ,No,$186.53 
2/3/2023,$186.53 ,76809700,$183.47 ,$196.77 ,$182.89 ,No,$188.77 
2/2/2023,$188.77 ,150475700,$183.38 ,$197.16 ,$180.16 ,Yes,$153.12 
2/1/2023,$153.12 ,55661020,$148.03 ,$153.58 ,$147.06 ,Yes,$148.97 
1/31/2023,$148.97 ,29842110,$147.95 ,$149.88 ,$147.52 ,Yes,$147.06 
1/30/2023,$147.06 ,28040100,$149.41 ,$151.12 ,$146.95 ,No,$151.74 
1/27/2023,$151.74 ,35771870,$148.24 ,$153.19 ,$147.39 ,Yes,$147.30 
1/26/2023,$147.30 ,25482080,$144.40 ,$147.51 ,$143.30 ,Yes,$141.50 
1/25/2023,$141.50 ,26622020,$141.22 ,$143.17 ,$140.31 ,No,$143.14 
1/24/2023,$143.14 ,21970190,$141.69 ,$145.00 ,$141.36 ,No,$143.27 
1/23/2023,$143.27 ,27470090,$139.29 ,$143.76 ,$138.66 ,Yes,$139.37 
1/20/2023,$139.37 ,28688630,$135.89 ,$139.94 ,$134.61 ,Yes,$136.15 
1/19/2023,$136.15 ,28625230,$132.49 ,$137.45 ,$132.14 ,Yes,$133.02 
1/18/2023,$133.02 ,20215490,$135.81 ,$137.25 ,$132.80 ,No,$135.36 
1/17/2023,$135.36 ,21147590,$136.18 ,$136.75 ,$134.25 ,No,$136.98 
1/13/2023,$136.98 ,22423840,$134.97 ,$137.39 ,$134.84 ,Yes,$136.71 
1/12/2023,$136.71 ,30757730,$133.44 ,$137.68 ,$131.76 ,Yes,$132.89 
1/11/2023,$132.89 ,25423050,$130.96 ,$133.85 ,$130.34 ,No,$132.99 
1/10/2023,$132.99 ,28684430,$127.27 ,$133.44 ,$127.15 ,Yes,$129.47 
1/9/2023,$129.47 ,26649150,$131.16 ,$132.95 ,$129.28 ,No,$130.02 
1/6/2023,$130.02 ,27584500,$128.97 ,$130.33 ,$126.04 ,Yes,$126.94 
1/5/2023,$126.94 ,25447100,$126.13 ,$128.52 ,$124.54 ,No,$127.37 
1/4/2023,$127.37 ,32397090,$127.38 ,$129.05 ,$125.85 ,Yes,$124.74 
1/3/2023,$124.74 ,35528530,$122.82 ,$126.37 ,$122.28 ,Yes,$120.34 
12/30/2022,$120.34 ,19583830,$118.16 ,$120.42 ,$117.74 ,Yes,$120.26 
12/29/2022,$120.26 ,22366190,$116.40 ,$121.03 ,$115.77 ,Yes,$115.62 
12/28/2022,$115.62 ,19612470,$116.25 ,$118.15 ,$115.51 ,No,$116.88 
12/27/2022,$116.88 ,21392310,$117.93 ,$118.60 ,$116.05 ,No,$118.04 
12/23/2022,$118.04 ,17796630,$116.03 ,$118.18 ,$115.54 ,Yes,$117.12 
12/22/2022,$117.12 ,23618120,$117.20 ,$118.62 ,$114.38 ,No,$119.76 
12/21/2022,$119.76 ,20392800,$116.70 ,$120.34 ,$115.62 ,Yes,$117.09 
12/20/2022,$117.09 ,28742500,$113.26 ,$117.33 ,$112.46 ,Yes,$114.48 
